chk_16b40978	10000088	2025-02-27	บริษัท ลีซ อิท จำกัด (มหาชน)	1890000	กสิกรไทย	1333102125	LITSM/PBF/67-11105		ได้รับคืนแล้ว	ประเภท: ค้ำเงินต้น | หมายเหตุ: เช็คเงินต้น - AW065-PL-บ้านบางเตยเหนือ ม.1 ต.บางเตย อ.เมืองพังงา จ.พังงา | สัญญา: LITSM/PBF/67-11105 | วันจ่ายเช็ค: 2024-11-28 | วันรับเช็คคืน: 2025-04-29
chk_08453642	10000093	2025-02-27	บริษัท ลีซ อิท จำกัด (มหาชน)	2700000	กสิกรไทย	1333102125	LITSM/PBF/67-11103		ได้รับคืนแล้ว	ประเภท: ค้ำเงินต้น | หมายเหตุ: เช็คเงินต้น (ขยายเวลา)  -STR011-PL-บริเวณแทงค์น้ำประปาเขาแกว ม.4 ต.ไร่ใหม่ อ.สามร้อยยอด จ.ประจวบคีรีขันธ์  | สัญญา: LITSM/PBF/67-11103 | วันจ่ายเช็ค: 2025-01-28 | วันรับเช็คคืน: 2025-04-29
chk_5e7015b0	00103305	2025-03-21	บริษัท ลีซ อิท จำกัด (มหาชน)	34397.26	KKP	1000050228	LITSM/PBF/68-02035		จ่ายแล้ว	ประเภท: จ่ายดอกเบี้ย | หมายเหตุ: เช็คดอกเบี้ย อบต.โนน | สัญญา: LITSM/PBF/68-02035 | วันจ่ายเช็ค: 2025-02-14 | วันจ่ายเงิน: 2025-03-21 | วันรับเช็คคืน: -
chk_75437cde	00103309	2025-03-21	บริษัท ลีซ อิท จำกัด (มหาชน)	7006.85	KKP	1000050228	LITSM/PBF/68-02032		จ่ายแล้ว	ประเภท: จ่ายดอกเบี้ย | หมายเหตุ: เช็คดอกเบี้ย อบต.สาริกา | สัญญา: LITSM/PBF/68-02032 | วันจ่ายเช็ค: 2025-02-14 | วันจ่ายเงิน: 2025-03-21 | วันรับเช็คคืน: -
chk_2a1f28a7	00103313	2025-03-21	บริษัท ลีซ อิท จำกัด (มหาชน)	7006.85	KKP	1000050228	LITSM/PBF/68-02034		จ่ายแล้ว	ประเภท: จ่ายดอกเบี้ย | หมายเหตุ: เช็คดอกเบี้ย เทศบาลตำบลศาลาลำดวน 1 | สัญญา: LITSM/PBF/68-02034 | วันจ่ายเช็ค: 2025-02-14 | วันจ่ายเงิน: 2025-03-21 | วันรับเช็คคืน: -
chk_af0c4d95	00103317	2025-03-21	บริษัท ลีซ อิท จำกัด (มหาชน)	7006.85	KKP	1000050228	LITSM/PBF/68-02031		จ่ายแล้ว	ประเภท: จ่ายดอกเบี้ย | หมายเหตุ: เช็คดอกเบี้ย อบต.เสมา | สัญญา: LITSM/PBF/68-02031 | วันจ่ายเช็ค: 2025-02-14 | วันจ่ายเงิน: 2025-03-21 | วันรับเช็คคืน: -
chk_33fcc241	10000047	2025-03-21	บริษัท ลีซ อิท จำกัด (มหาชน)	7006.85	กสิกรไทย	1333102125	LITSM/PBF/68-01018		จ่ายแล้ว	ประเภท: จ่ายดอกเบี้ย | หมายเหตุ: เช็คดอกเบี้ย อบต.ม่วงคำ สัญญา 8/2568 | สัญญา: LITSM/PBF/68-01018 | วันจ่ายเช็ค: 2025-01-29 | วันจ่ายเงิน: 2025-03-21 | วันรับเช็คคืน: -
chk_df6214bb	10000051	2025-03-21	บริษัท ลีซ อิท จำกัด (มหาชน)	7006.85	กสิกรไทย	1333102125	LITSM/PBF/68-01019		จ่ายแล้ว	ประเภท: จ่ายดอกเบี้ย | หมายเหตุ: เช็คดอกเบี้ย อบต.ม่วงคำ สัญญา 9/2568 | สัญญา: LITSM/PBF/68-01019 | วันจ่ายเช็ค: 2025-01-29 | วันจ่ายเงิน: 2025-03-21 | วันรับเช็คคืน: -
chk_eadb7f8c	10000055	2025-03-21	บริษัท ลีซ อิท จำกัด (มหาชน)	7006.85	กสิกรไทย	1333102125	LITSM/PBF/68-01020		จ่ายแล้ว	ประเภท: จ่ายดอกเบี้ย | หมายเหตุ: เช็คดอกเบี้ย อบต.ม่วงคำ สัญญา 10/2568 | สัญญา: LITSM/PBF/68-01020 | วันจ่ายเช็ค: 2025-01-29 | วันจ่ายเงิน: 2025-03-21 | วันรับเช็คคืน: -
chk_e4af06e4	10000059	2025-03-21	บริษัท ลีซ อิท จำกัด (มหาชน)	7006.85	กสิกรไทย	1333102125	LITSM/PBF/68-02033		จ่ายแล้ว	ประเภท: จ่ายดอกเบี้ย | หมายเหตุ: เช็คดอกเบี้ย เทศบาลตำบลศาลาลำดวน 2 | สัญญา: LITSM/PBF/68-02033 | วันจ่ายเช็ค: 2025-02-14 | วันจ่ายเงิน: 2025-03-21 | วันรับเช็คคืน: -
chk_f9d63501	10000096	2025-03-21	บริษัท ลีซ อิท จำกัด (มหาชน)	162176.71	กสิกรไทย	1333102125	LITSM/PBF/68-01022		จ่ายแล้ว	ประเภท: จ่ายดอกเบี้ย | หมายเหตุ: เช็คดอกเบี้ย - เทศบาลตำบลบัลลังก์ 20 โครงการ | สัญญา: LITSM/PBF/68-01022 | วันจ่ายเช็ค: 2025-01-29 | วันจ่ายเงิน: 2025-03-21 | วันรับเช็คคืน: -
chk_53a7ba8c	10000100	2025-03-21	บริษัท ลีซ อิท จำกัด (มหาชน)	41340.41	กสิกรไทย	1333102125	LITSM/PBF/68-01021		จ่ายแล้ว	ประเภท: จ่ายดอกเบี้ย | หมายเหตุ: เช็คดอกเบี้ย เทศบาลตำบลนาสีทอง | สัญญา: LITSM/PBF/68-01021 | วันจ่ายเช็ค: 2025-01-29 | วันจ่ายเงิน: 2025-03-21 | วันรับเช็คคืน: -
chk_505ac757	10066704	2025-03-21	บริษัท ลีซ อิท จำกัด (มหาชน)	21657.53	KTB	9867702441	LITSM/PBF/68-02048		จ่ายแล้ว	ประเภท: จ่ายดอกเบี้ย | หมายเหตุ: ดอกเบี้ย ย่านยาว | สัญญา: LITSM/PBF/68-02048 | วันจ่ายเช็ค: 2025-02-14 | วันจ่ายเงิน: 2025-03-21 | วันรับเช็คคืน: -
chk_6937e3cf	10066708	2025-03-21	บริษัท ลีซ อิท จำกัด (มหาชน)	7006.85	KTB	9867702441	LITSM/PBF/68-02041		จ่ายแล้ว	ประเภท: จ่ายดอกเบี้ย | หมายเหตุ: ดอกเบี้ย นาไคร้ | สัญญา: LITSM/PBF/68-02041 | วันจ่ายเช็ค: 2025-02-14 | วันจ่ายเงิน: 2025-03-21 | วันรับเช็คคืน: -
chk_7532abb5	10066712	2025-03-21	บริษัท ลีซ อิท จำกัด (มหาชน)	7006.85	KTB	9867702441	LITSM/PBF/68-02040		จ่ายแล้ว	ประเภท: จ่ายดอกเบี้ย | หมายเหตุ: ดอกเบี้ย เสม็ดใต้ | สัญญา: LITSM/PBF/68-02040 | วันจ่ายเช็ค: 2025-02-14 | วันจ่ายเงิน: 2025-03-21 | วันรับเช็คคืน: -
chk_c6c25f34	10066716	2025-03-21	บริษัท ลีซ อิท จำกัด (มหาชน)	7006.85	KTB	9867702441	LITSM/PBF/68-02042		จ่ายแล้ว	ประเภท: จ่ายดอกเบี้ย | หมายเหตุ: ดอกเบี้ย นาเชือก | สัญญา: LITSM/PBF/68-02042 | วันจ่ายเช็ค: 2025-02-14 | วันจ่ายเงิน: 2025-03-21 | วันรับเช็คคืน: -
chk_00c6d0fe	10066720	2025-03-21	บริษัท ลีซ อิท จำกัด (มหาชน)	7006.85	KTB	9867702441	LITSM/PBF/68-02039		จ่ายแล้ว	ประเภท: จ่ายดอกเบี้ย | หมายเหตุ: ดอกเบี้ย ทุ่งกง | สัญญา: LITSM/PBF/68-02039 | วันจ่ายเช็ค: 2025-02-14 | วันจ่ายเงิน: 2025-03-21 | วันรับเช็คคืน: -
