dm_9f11b175	STS	STS-WTP670731-001(158)/1	PP012-PM-บ้านบางหิน ม.5 ต.คลองชะอุ่น อ.พนม จ.สุราษฎร์ธานี	Close			2024-06-18				340000	0.15	THB	2024-08-14		340000			PP012	PP012-PM-บ้านบางหิน ม.5 ต.คลองชะอุ่น อ.พนม จ.สุราษฎร์ธานี	STS โอนสิทธิ์ - มูลค่าสัญญา 3400000
dm_6058b57c	STS	STS-WTP6708001-001(161)	ENC032-PL-บ้านหนองนกคุ้ม ม.7 ต.หนองขาม อ.จักราช จ.นครราชสีมา	Close			2024-08-29	1			540000	0.15	THB	2024-08-16		540000			ENC032	ENC032-PL-บ้านหนองนกคุ้ม ม.7 ต.หนองขาม อ.จักราช จ.นครราชสีมา	STS โอนสิทธิ์ - มูลค่าสัญญา 5400000
dm_82631f80	STS	STS-WTP6708001-002(162)	ENC028-PL-หมู่บ้านหนองนกเขา ม.15 ต.หลุ่งตะเคียน อ.ห้วยแถลง จ.นครราชสีมา	Close			2024-08-09				540000	0.15	THB	2024-08-16		540000			ENC028	ENC028-PL-หมู่บ้านหนองนกเขา ม.15 ต.หลุ่งตะเคียน อ.ห้วยแถลง จ.นครราชสีมา	STS โอนสิทธิ์ - มูลค่าสัญญา 5400000
dm_821bd035	STS	STS-WTP671030-001(176)	AW077-PSL-ม.1 ต.โคกยาง อ.เหนือคลอง จ.กระบี่	Close			2024-10-17	12			450000	0.15	THB	2024-08-16		450000			AW077	AW077-PSL-ม.1 ต.โคกยาง อ.เหนือคลอง จ.กระบี่	STS โอนสิทธิ์ - มูลค่าสัญญา 4498000
dm_a2b25dcf	STS	STS-WTP671030-002(177)	AW078-PSL-ม.2 ต.โคกยาง อ.เหนือคลอง จ.กระบี่	Close			2024-10-17	13			450000	0.15	THB	2024-08-16		450000			AW078	AW078-PSL-ม.2 ต.โคกยาง อ.เหนือคลอง จ.กระบี่	STS โอนสิทธิ์ - มูลค่าสัญญา 4498000
dm_b624b903	STS	STS-WTP671030-003(178)	AW079-PSL-ม.3 ต.โคกยาง อ.เหนือคลอง จ.กระบี่	Close			2024-10-17	14			450000	0.15	THB	2024-08-23		450000			AW079	AW079-PSL-ม.3 ต.โคกยาง อ.เหนือคลอง จ.กระบี่	STS โอนสิทธิ์ - มูลค่าสัญญา 4498000
dm_41b9d345	STS	STS-WTP671030-004(179)	AW080-PSL-ม.4 ต.โคกยาง อ.เหนือคลอง จ.กระบี่	Close			2024-10-17	15			450000	0.15	THB	2024-08-26		450000			AW080	AW080-PSL-ม.4 ต.โคกยาง อ.เหนือคลอง จ.กระบี่	STS โอนสิทธิ์ - มูลค่าสัญญา 4498000
dm_20c1e0d2	STS	STS-WTP671129-009(206)	AW099-PL-ม.6 ต.น้ำเป็น อ.เขาชะเมา จ.ระยอง	Close			2024-10-28				540000	0.15	THB	2024-08-30		540000			AW099	AW099-PL-ม.6 ต.น้ำเป็น อ.เขาชะเมา จ.ระยอง	STS โอนสิทธิ์ - มูลค่าสัญญา 5400000
dm_230b2b48	STS	STS-WTP671129-010(207)	บ้านสว่าง ม.8 ต.หินตั้ง อ.บ้านไผ่ จ.ขอนแก่น	Close							540000	0.15	THB	2024-08-30		540000			0	บ้านสว่าง ม.8 ต.หินตั้ง อ.บ้านไผ่ จ.ขอนแก่น	STS โอนสิทธิ์ - มูลค่าสัญญา 5400000
dm_89301f0b	STS	STS-WTP671030-005(180)	AW089-PL-ม.3 ต.เกษตรสุวรรณ อ.บ่อทอง จ.ชลบุรี	Close			2024-10-21	9			538219.624	0.15	THB	2024-09-10		538219.624			AW089	AW089-PL-ม.3 ต.เกษตรสุวรรณ อ.บ่อทอง จ.ชลบุรี	STS โอนสิทธิ์ - มูลค่าสัญญา 5382196.24
dm_cbe549b4	STS	STS-WTP671129-011(208)	บ้านแม่วะ ม.3 ต.สันดอกแก้ว อ.แม่ทะ จ.ลำปาง	Close							540000	0.15	THB	2024-09-13		540000			AW137	บ้านแม่วะ ม.3 ต.สันดอกแก้ว อ.แม่ทะ จ.ลำปาง	STS โอนสิทธิ์ - มูลค่าสัญญา 5400000
dm_6b649676	STS	STS-WTP671206-001(211)	บ้านแม่หีด ม.1 ต.วังแก้ว อ.วังเหนือ จ.ลำปาง	Close			2025-06-16				537500	0.15	THB	2024-09-13		537500			AW136	บ้านแม่หีด ม.1 ต.วังแก้ว อ.วังเหนือ จ.ลำปาง	STS โอนสิทธิ์ - มูลค่าสัญญา 5375000
dm_bdddf7ee	STS	STS-WTP671206-002(212)	บ้านน้ำม้า ม.3 ต.สถาน อ.เชียงของ จ.เชียงราย PL	Close							540000	0.15	THB	2024-09-13		540000			0	บ้านน้ำม้า ม.3 ต.สถาน อ.เชียงของ จ.เชียงราย PL	STS โอนสิทธิ์ - มูลค่าสัญญา 5400000
dm_72794e13	STS	STS-WTP671017-001(169)	AW068-PL-บ้านทุ่งไก่ดัก ม.4 ต.ท่ากุ่ม อ.เมืองตราด จ.ตราด	Close			2024-10-08	2			540000	0.15	THB	2024-09-13		540000			AW068	AW068-PL-บ้านทุ่งไก่ดัก ม.4 ต.ท่ากุ่ม อ.เมืองตราด จ.ตราด	STS โอนสิทธิ์ - มูลค่าสัญญา 5400000
dm_8c709d5b	STS	STS-WTP671030-006(181)	AW081-PSL-ม.5 ต.โคกยาง อ.เหนือคลอง จ.กระบี่	Close			2024-10-17	16			450000	0.15	THB	2024-09-18		450000			AW081	AW081-PSL-ม.5 ต.โคกยาง อ.เหนือคลอง จ.กระบี่	STS โอนสิทธิ์ - มูลค่าสัญญา 4498000
dm_ac707ca0	STS	STS-WTP671206-003(213)	INS029-PL-บ้านเขาสะท้อนบน ม.10 ต.หนองไม้แก่น อ.แปลงยาว จ.ฉะเชิงเทรา	Close			2025-01-23				540000	0.15	THB	2024-09-27		540000			0	INS029-PL-บ้านเขาสะท้อนบน ม.10 ต.หนองไม้แก่น อ.แปลงยาว จ.ฉะเชิงเทรา	STS โอนสิทธิ์ - มูลค่าสัญญา 5400000
