dm_df16b836	WCI-Project	STS-WTP670730-005(156)-WCI	TTI004-PL-บ้านทุ่งกราด ม.8 ต.สะตอ อ.เขาสมิง จ.ตราด	Close			2024-06-21				2160000	0.10	THB	2024-08-14		2160000			TTI004	TTI004-PL-บ้านทุ่งกราด ม.8 ต.สะตอ อ.เขาสมิง จ.ตราด	WCI โอนสิทธิ์ (ผูกกับ STS=STS-WTP670730-005(156))	
dm_6ec9b207	STS	STS-WTP670731-002(159)	PP011-PL-คำบอน ม.3 ต.ยางอู้ม อ.ท่าคันโท จ.กาฬสินธุ์	Close			2024-06-17				540000	0.15	THB	2024-07-31		540000			PP011	PP011-PL-คำบอน ม.3 ต.ยางอู้ม อ.ท่าคันโท จ.กาฬสินธุ์	STS โอนสิทธิ์ - มูลค่าสัญญา 5400000	
dm_4c8a74d0	WCI-Project	STS-WTP670731-002(159)-WCI	PP011-PL-คำบอน ม.3 ต.ยางอู้ม อ.ท่าคันโท จ.กาฬสินธุ์	Close			2024-06-17				2008000	0.10	THB	2024-08-16		2008000			PP011	PP011-PL-คำบอน ม.3 ต.ยางอู้ม อ.ท่าคันโท จ.กาฬสินธุ์	WCI โอนสิทธิ์ (ผูกกับ STS=STS-WTP670731-002(159))	
dm_40d6e6cb	STS	STS-WTP670731-003(160)	ENC019-PL-บ้านดอนไชย ม.4 ต.หลวงเหนือ อ.งาว จ.ลำปาง	Close			2024-06-12				540000	0.15	THB	2024-07-31		540000			ENC019	ENC019-PL-บ้านดอนไชย ม.4 ต.หลวงเหนือ อ.งาว จ.ลำปาง	STS โอนสิทธิ์ - มูลค่าสัญญา 5400000	
dm_49a8d71b	WCI-Project	STS-WTP670731-003(160)-WCI	ENC019-PL-บ้านดอนไชย ม.4 ต.หลวงเหนือ อ.งาว จ.ลำปาง	Close			2024-06-12				2008000	0.10	THB	2024-08-16		2008000			ENC019	ENC019-PL-บ้านดอนไชย ม.4 ต.หลวงเหนือ อ.งาว จ.ลำปาง	WCI โอนสิทธิ์ (ผูกกับ STS=STS-WTP670731-003(160))	
dm_b029c40c	STS	STS-WTP670731-001(158)/1	PP012-PM-บ้านบางหิน ม.5 ต.คลองชะอุ่น อ.พนม จ.สุราษฎร์ธานี	Close			2024-06-18				140000	0.15	THB	2024-07-31		140000			PP012	PP012-PM-บ้านบางหิน ม.5 ต.คลองชะอุ่น อ.พนม จ.สุราษฎร์ธานี	STS โอนสิทธิ์ - มูลค่าสัญญา 3400000	[{"date":"2024-08-29","amount":200000,"note":"STS ครั้งที่ 2"}]
dm_e7201cd2	WCI-Project	STS-WTP670731-001(158)/1-WCI	PP012-PM-บ้านบางหิน ม.5 ต.คลองชะอุ่น อ.พนม จ.สุราษฎร์ธานี	Close			2024-06-18				1019376	0.10	THB	2024-08-14		1019376			PP012	PP012-PM-บ้านบางหิน ม.5 ต.คลองชะอุ่น อ.พนม จ.สุราษฎร์ธานี	WCI โอนสิทธิ์ (ผูกกับ STS=STS-WTP670731-001(158)/1)	[{"date":"2024-08-16","amount":340624,"note":"WCI ครั้งที่ 2"}]
dm_9ff4419b	STS	STS-WTP6708001-001(161)	ENC032-PL-บ้านหนองนกคุ้ม ม.7 ต.หนองขาม อ.จักราช จ.นครราชสีมา	Close			2024-08-29	1			540000	0.15	THB	2024-08-01		540000			ENC032	ENC032-PL-บ้านหนองนกคุ้ม ม.7 ต.หนองขาม อ.จักราช จ.นครราชสีมา	STS โอนสิทธิ์ - มูลค่าสัญญา 5400000	
dm_554c4f1d	WCI-Project	STS-WTP6708001-001(161)-WCI	ENC032-PL-บ้านหนองนกคุ้ม ม.7 ต.หนองขาม อ.จักราช จ.นครราชสีมา	Close			2024-08-29	1			2160000	0.10	THB	2024-08-16		2160000			ENC032	ENC032-PL-บ้านหนองนกคุ้ม ม.7 ต.หนองขาม อ.จักราช จ.นครราชสีมา	WCI โอนสิทธิ์ (ผูกกับ STS=STS-WTP6708001-001(161))	
dm_dbccbd5a	STS	STS-WTP6708001-002(162)	ENC028-PL-หมู่บ้านหนองนกเขา ม.15 ต.หลุ่งตะเคียน อ.ห้วยแถลง จ.นครราชสีมา	Close			2024-08-09				540000	0.15	THB	2024-08-01		540000			ENC028	ENC028-PL-หมู่บ้านหนองนกเขา ม.15 ต.หลุ่งตะเคียน อ.ห้วยแถลง จ.นครราชสีมา	STS โอนสิทธิ์ - มูลค่าสัญญา 5400000	
