ev_d8011a79	dm_beb72bd9	STS-WTP671129-010(207)-WCI	repayment	2025-12-26	2160000	คืน WCI งวด 1
ev_6e919a9b	dm_e8580ae9	STS-WTP671030-005(180)-WCI	drawdown	2024-10-08	295624	WCI ครั้งที่ 2
ev_542ec3e6	dm_e8580ae9	STS-WTP671030-005(180)-WCI	repayment	2025-05-22	864000	คืน WCI งวด 1
ev_c34b70e6	dm_e8580ae9	STS-WTP671030-005(180)-WCI	repayment	2025-06-26	1296000	คืน WCI งวด 2
ev_b2c5220d	dm_61126f1a	STS-WTP671129-011(208)-WCI	repayment	2025-12-26	2160000	คืน WCI งวด 1
ev_01860d17	dm_edba4b87	STS-WTP671206-001(211)-WCI	repayment	2025-09-26	864000	คืน WCI งวด 1
ev_b3fdeea0	dm_edba4b87	STS-WTP671206-001(211)-WCI	repayment	2025-11-04	1296000	คืน WCI งวด 2
ev_6ed65d02	dm_ec1ac9a9	STS-WTP671206-002(212)-WCI	repayment	2025-12-26	2160000	คืน WCI งวด 1
ev_e2871e23	dm_2be065e6	STS-WTP671017-001(169)-WCI	drawdown	2024-10-08	1040000	WCI ครั้งที่ 2
ev_fc98799c	dm_2be065e6	STS-WTP671017-001(169)-WCI	repayment	2025-01-30	864000	คืน WCI งวด 1
ev_e7bed581	dm_2be065e6	STS-WTP671017-001(169)-WCI	repayment	2025-03-14	1296000	คืน WCI งวด 2
ev_7b66910b	dm_ada99df6	STS-WTP671030-006(181)-WCI	drawdown	2024-10-08	100000	WCI ครั้งที่ 2
ev_c4308019	dm_ada99df6	STS-WTP671030-006(181)-WCI	repayment	2025-05-13	1800000	คืน WCI งวด 1
ev_1c73ec5f	dm_aabd26e0	STS-WTP671206-003(213)-WCI	repayment	2025-06-27	864000	คืน WCI งวด 1
ev_8f1b61bd	dm_aabd26e0	STS-WTP671206-003(213)-WCI	repayment	2025-08-29	1296000	คืน WCI งวด 2
ev_812a4de4	dm_bf029ed1	STS-WTP680219-001-WCI	repayment	2025-08-29	864000	คืน WCI งวด 1
ev_9a4dd02b	dm_ba9f849a	STS-WTP671218-001(229)-WCI	repayment	2025-12-26	2160000	คืน WCI งวด 1
ev_a7ab1de0	dm_b33212fa	STS-WTP671129-008(205)-WCI	drawdown	2024-10-08	1140000	WCI ครั้งที่ 2
ev_e27baba9	dm_b33212fa	STS-WTP671129-008(205)-WCI	repayment	2025-03-27	2160000	คืน WCI งวด 1
ev_64d24ba5	dm_35fcc55e	STS-WTP671031-001(184)-WCI	repayment	2025-06-05	2160000	คืน WCI งวด 1
ev_0dca4c5c	dm_2c0ed99f	STS-WTP671031-002(185)-WCI	repayment	2025-04-10	2160000	คืน WCI งวด 1
ev_dce30d59	dm_31e9a173	STS-WTP671031-003(186)-WCI	repayment	2025-02-26	2160000	คืน WCI งวด 1
ev_17a5ad12	dm_f1ffc3d7	STS-WTP671018-005(174)-WCI	repayment	2025-02-14	864000	คืน WCI งวด 1
ev_ce529dc4	dm_f1ffc3d7	STS-WTP671018-005(174)-WCI	repayment	2025-02-27	1296000	คืน WCI งวด 2
ev_b83fd2e4	dm_d0a85723	STS-WTP671017-002(170)-WCI	repayment	2025-03-18	2160000	คืน WCI งวด 1
ev_4cfc62df	dm_19e3be76	STS-WTP671018-006(175)-WCI	drawdown	2024-10-10	295624	WCI ครั้งที่ 2
ev_9c0ce965	dm_19e3be76	STS-WTP671018-006(175)-WCI	drawdown	2024-10-11	350400	WCI ครั้งที่ 3
ev_c47a5973	dm_19e3be76	STS-WTP671018-006(175)-WCI	repayment	2025-01-15	908160	คืน WCI งวด 1
ev_d36f7ad6	dm_19e3be76	STS-WTP671018-006(175)-WCI	repayment	2025-03-21	1362240	คืน WCI งวด 2
ev_139baa4a	dm_efcc4976	STS-WTP680219-001-WCI	drawdown	2024-10-11	955624	WCI ครั้งที่ 2
ev_d497e023	dm_1f195b1e	STS-WTP671206-004(214)-WCI	repayment	2025-03-27	2385760	คืน WCI งวด 1
ev_32e9d99f	dm_09237205	STS-WTP680219-001-WCI	drawdown	2024-10-15	851784	WCI ครั้งที่ 2
ev_ee04f0bc	dm_09237205	STS-WTP680219-001-WCI	repayment	2025-08-28	864000	คืน WCI งวด 1
ev_2dfd1e3a	dm_09237205	STS-WTP680219-001-WCI	repayment	2025-09-29	1296000	คืน WCI งวด 2
ev_56212fb4	dm_67c87bd5	STS-WTP671129-007(204)-WCI	repayment	2025-01-15	864000	คืน WCI งวด 1
ev_a8f78e7e	dm_67c87bd5	STS-WTP671129-007(204)-WCI	repayment	2025-03-21	1296000	คืน WCI งวด 2
ev_c287c36a	dm_a1ceeed0	STS-WTP671218-002(230)-WCI	repayment	2025-07-01	520000	คืน WCI งวด 1
ev_8b53d14f	dm_1950e80d	STS-WTP671129-001(198)-WCI	drawdown	2024-10-22	74000	WCI ครั้งที่ 2
ev_15bd6803	dm_1950e80d	STS-WTP671129-001(198)-WCI	drawdown	2024-10-25	277784	WCI ครั้งที่ 3
ev_bb4e7f60	dm_1950e80d	STS-WTP671129-001(198)-WCI	repayment	2025-06-23	520000	คืน WCI งวด 1
ev_2ae4f251	dm_a8fd79fc	STS-WTP671017-003(171)-WCI	drawdown	2024-10-22	160000	WCI ครั้งที่ 2
ev_00479c8f	dm_a8fd79fc	STS-WTP671017-003(171)-WCI	repayment	2025-03-25	2160000	คืน WCI งวด 1
ev_68033e13	dm_d71e5f9c	STS-WTP671017-004(172)-WCI	repayment	2025-03-25	2160000	คืน WCI งวด 1
ev_11c34383	dm_a85601c4	STS-WTP671017-005(173)-WCI	drawdown	2024-10-25	1660000	WCI ครั้งที่ 2
ev_f98bbb66	dm_a85601c4	STS-WTP671017-005(173)-WCI	repayment	2025-04-08	864000	คืน WCI งวด 1
ev_16fbb6cb	dm_a85601c4	STS-WTP671017-005(173)-WCI	repayment	2025-05-06	1296000	คืน WCI งวด 2
ev_875af2fb	dm_83080970	STS-WTP671129-004(201)-WCI	repayment	2025-09-30	2160000	คืน WCI งวด 1
ev_7c9d032e	dm_800911fd	STS-WTP680219-001-WCI	drawdown	2024-10-21	900000	WCI ครั้งที่ 2
ev_c1274cc2	dm_800911fd	STS-WTP680219-001-WCI	drawdown	2024-10-22	1006000	WCI ครั้งที่ 3
ev_01992fb8	dm_05074cce	STS-WTP671031-004(187) /  STS-WTP671128-010(197)	drawdown	2024-11-28	160000	STS ครั้งที่ 2
ev_75497c7c	dm_751afa85	STS-WTP671031-004(187) /  STS-WTP671128-010(197)-WCI	repayment	2025-03-25	2160000	คืน WCI งวด 1
ev_e1749179	dm_b171fc6f	STS-WTP671206-005(215)-WCI	repayment	2025-07-04	2160000	คืน WCI งวด 1
ev_5824d075	dm_88248d36	STS-WTP671206-006(216)-WCI	drawdown	2024-10-29	517784	WCI ครั้งที่ 2
ev_e5fd9953	dm_88248d36	STS-WTP671206-006(216)-WCI	repayment	2025-07-04	2160000	คืน WCI งวด 1
ev_6a14e753	dm_11ab44e4	STS-WTP671128-009(196)-WCI	drawdown	2024-10-30	1677784	WCI ครั้งที่ 2
ev_e38f6a76	dm_11ab44e4	STS-WTP671128-009(196)-WCI	repayment	2025-03-27	2160000	คืน WCI งวด 1
ev_4b07ded5	dm_4eb017b1	STS-WTP671030-007(182)-WCI	repayment	2025-01-16	832000	คืน WCI งวด 1
ev_e0c1b1b4	dm_4eb017b1	STS-WTP671030-007(182)-WCI	repayment	2025-03-21	1176000	คืน WCI งวด 2
ev_04af1dd7	dm_98471d2a	STS-WTP671206-007(217)-WCI	repayment	2025-03-13	864000	คืน WCI งวด 1
ev_79918474	dm_98471d2a	STS-WTP671206-007(217)-WCI	repayment	2025-03-13	1296000	คืน WCI งวด 2
ev_6e271059	dm_297e1d8a	STS-WTP671206-008(218)-WCI	repayment	2025-06-25	2160000	คืน WCI งวด 1
ev_a0a70c47	dm_f0535eeb	STS-WTP671128-002(189)-WCI	drawdown	2024-10-31	40000	WCI ครั้งที่ 2
ev_8052fffc	dm_f0535eeb	STS-WTP671128-002(189)-WCI	drawdown	2024-11-08	613184	WCI ครั้งที่ 3
ev_818a514b	dm_f0535eeb	STS-WTP671128-002(189)-WCI	repayment	2025-03-11	2160000	คืน WCI งวด 1
ev_06d38abb	dm_6c7e73a2	STS-WTP671128-001(188)-WCI	repayment	2025-04-10	2160000	คืน WCI งวด 1
ev_7e2fddfa	dm_c0a092e0	STS-WTP671128-003(190)-WCI	repayment	2025-03-10	864000	คืน WCI งวด 1
ev_21144df8	dm_c0a092e0	STS-WTP671128-003(190)-WCI	repayment	2025-03-14	1296000	คืน WCI งวด 2
ev_08cb5365	dm_9d636f1f	STS-WTP671128-006(193)-WCI	repayment	2025-03-10	2160000	คืน WCI งวด 1
ev_cc32b226	dm_42be0ad2	STS-WTP671128-005(192)-WCI	repayment	2025-03-10	2160000	คืน WCI งวด 1
